method,dataset,encoder,k,seed,steps,split,accuracy,num_items,timestamp
stage3_standard_guided,aircraft,resnet18,full,0,4,test,0.36303627490997314,3333,2026-08-30T19:51:10+00:00
stage3_standard_guided,aircraft,resnet18,full,0,12,test,0.36333632469177246,3333,2026-08-30T19:51:10+00:00
stage3_standard_guided_n015,aircraft,resnet18,full,0,4,test,0.35703569650650024,3333,2026-08-30T19:51:13+00:00
stage3_standard_guided_n015,aircraft,resnet18,full,0,12,test,0.35703569650650024,3333,2026-08-30T19:51:13+00:00
stage3_rolled_ce_T12,aircraft,resnet18,full,0,12,test,0.35313528776168823,3333,2026-08-30T19:51:18+00:00
stage3_standard_guided,dtd,resnet18,full,0,4,test,0.6351063847541809,1880,2026-08-30T19:51:23+00:00
stage3_standard_guided,dtd,resnet18,full,0,12,test,0.6351063847541809,1880,2026-08-30T19:51:23+00:00
stage3_standard_guided_n015,dtd,resnet18,full,0,4,test,0.6345744729042053,1880,2026-08-30T19:51:25+00:00
stage3_standard_guided_n015,dtd,resnet18,full,0,12,test,0.6345744729042053,1880,2026-08-30T19:51:25+00:00
stage3_rolled_ce_T12,dtd,resnet18,full,0,12,test,0.5877659320831299,1880,2026-08-30T19:51:28+00:00
stage3_standard_guided,dtd,dinov2_vits14,full,0,4,test,0.7601063847541809,1880,2026-08-30T19:51:33+00:00
stage3_standard_guided,dtd,dinov2_vits14,full,0,12,test,0.7601063847541809,1880,2026-08-30T19:51:33+00:00
stage3_standard_guided_n015,dtd,dinov2_vits14,full,0,4,test,0.7632978558540344,1880,2026-08-30T19:51:35+00:00
stage3_standard_guided_n015,dtd,dinov2_vits14,full,0,12,test,0.7632978558540344,1880,2026-08-30T19:51:35+00:00
stage3_rolled_ce_T12,dtd,dinov2_vits14,full,0,12,test,0.7569148540496826,1880,2026-08-30T19:51:37+00:00
stage3_standard_guided_n015,aircraft,resnet18,10,0,4,test,0.27752774953842163,3333,2026-08-30T19:54:11+00:00
stage3_standard_guided_n015,aircraft,resnet18,10,0,12,test,0.27752774953842163,3333,2026-08-30T19:54:11+00:00
stage3_standard_guided_n015,dtd,dinov2_vits14,10,0,4,test,0.6909574270248413,1880,2026-08-30T19:54:13+00:00
stage3_standard_guided_n015,dtd,dinov2_vits14,10,0,12,test,0.6909574270248413,1880,2026-08-30T19:54:13+00:00
stage3_rolled_ce_T12,aircraft,resnet18,10,0,12,test,0.27272725105285645,3333,2026-08-30T20:21:32+00:00
stage3_standard_guided_n15_s1lr1,aircraft,resnet18,10,0,4,test,0.27752774953842163,3333,2026-08-30T20:21:32+00:00
stage3_standard_guided_n15_s1lr1,aircraft,resnet18,10,0,12,test,0.27752774953842163,3333,2026-08-30T20:21:32+00:00
stage3_rolled_ce_T12_joint,aircraft,resnet18,10,0,12,test,0.2688268721103668,3333,2026-08-30T20:21:33+00:00
stage3_rolled_ce_T12,dtd,dinov2_vits14,10,0,12,test,0.6829786896705627,1880,2026-08-30T20:21:33+00:00
stage3_standard_guided_n15_s1lr1,dtd,dinov2_vits14,10,0,4,test,0.6909574270248413,1880,2026-08-30T20:21:33+00:00
stage3_standard_guided_n15_s1lr1,dtd,dinov2_vits14,10,0,12,test,0.6909574270248413,1880,2026-08-30T20:21:33+00:00
stage3_rolled_ce_T12_joint,dtd,dinov2_vits14,10,0,12,test,0.6893616914749146,1880,2026-08-30T20:21:34+00:00
