dataset,encoder,method,config_name,steps,seeds,acc_mean,acc_std,delta,delta_std,significant
aircraft,resnet18,Stage 1 linear probe (frozen),,-,3,0.2720271944999695,0.005567416618025446,,,False
aircraft,resnet18,End-to-end rolled-out (Strategy 1),rolled_ce_T12,12,3,0.2601260046164195,0.007869707067787545,-0.011901189883550009,0.007302096815903056,False
aircraft,resnet18,Classifier-guided FM (Strategy 2),standard_guided_T12_s1lr0p1,12,3,0.27192718784014386,0.00558356138460911,-0.0001000066598256429,0.0001732166159132708,False
aircraft,resnet18,"Classifier-guided FM, noised sources",standard_guided_T12_n0p15_s1lr0p1,12,3,0.2719271779060364,0.0044937805163462454,-0.00010001659393310547,0.0013857673400638722,False
aircraft,resnet18,Joint fine-tuning (extension),rolled_ce_T12_joint,12,3,0.2627262572447459,0.00929769523711103,-0.009300937255223593,0.00865417625752287,False
dtd,dinov2_vits14,Stage 1 linear probe (frozen),,-,3,0.695212741692861,0.007370421207203059,,,False
dtd,dinov2_vits14,End-to-end rolled-out (Strategy 1),rolled_ce_T12,12,3,0.687588632106781,0.0037737334229713286,-0.007624109586079915,0.00771427960949965,False
dtd,dinov2_vits14,Classifier-guided FM (Strategy 2),standard_guided_T12_s1lr0p1,12,3,0.6948581337928772,0.007841600307560053,-0.00035460789998372394,0.0016250175437047447,False
dtd,dinov2_vits14,"Classifier-guided FM, noised sources",standard_guided_T12_n0p15_s1lr0p1,12,3,0.6945035258928934,0.006608026769728831,-0.0007092157999674479,0.0008125087718523724,False
dtd,dinov2_vits14,Joint fine-tuning (extension),rolled_ce_T12_joint,12,3,0.6923758784929911,0.004586005012624004,-0.0028368631998697915,0.003460835036535989,False
