encoder,dataset,k,seed,noise_std,train_accuracy,train_ce,grad_norm,guided_step_frac
resnet18,aircraft,10,0,0.0,1.0,0.022203488275408745,0.0741206631064415,0.0002626309869810939
resnet18,aircraft,10,0,0.15,1.0,0.03015369549393654,0.10090509057044983,0.000353103328961879
resnet18,aircraft,10,0,0.3,0.999000072479248,0.08209504932165146,0.2566964328289032,0.0008711229893378913
resnet18,aircraft,10,0,0.5,0.8960000276565552,0.3579159677028656,0.7570244669914246,0.0023836526088416576
resnet18,aircraft,10,0,1.0,0.47700002789497375,2.5651235580444336,2.297661066055298,0.005636300891637802
dinov2_vits14,dtd,10,0,0.0,0.9999999403953552,0.001747941947542131,0.0017347398679703474,3.621162477429607e-06
dinov2_vits14,dtd,10,0,0.15,0.9999999403953552,0.0019975786563009024,0.0020118113607168198,4.144659214944113e-06
dinov2_vits14,dtd,10,0,0.3,0.9999999403953552,0.0028279952239245176,0.0028879556339234114,5.778077138529625e-06
dinov2_vits14,dtd,10,0,0.5,0.9999999403953552,0.004642742220312357,0.004677511285990477,8.740886187297292e-06
dinov2_vits14,dtd,10,0,1.0,0.9893616437911987,0.05478360503911972,0.04413706809282303,6.598460458917543e-05
